cve,epss,percentile
CVE-2023-0334,0.00046,0.13988
CVE-2023-0335,0.00046,0.12859
CVE-2023-0336,0.00046,0.12859
CVE-2023-0337,0.00046,0.13988
CVE-2023-0338,0.00046,0.13988
CVE-2023-0339,0.00096,0.39158
CVE-2023-0340,0.00070,0.28850
CVE-2023-0341,0.00261,0.62543
CVE-2023-0342,0.00046,0.13988
CVE-2023-0343,0.00087,0.35654
CVE-2023-0344,0.00048,0.14876
CVE-2023-0345,0.00091,0.37850
CVE-2023-0346,0.00087,0.35654
CVE-2023-0347,0.00046,0.13988
CVE-2023-0348,0.00048,0.14876
CVE-2023-0349,0.00091,0.37850
CVE-2023-0350,0.00046,0.12859
CVE-2023-0351,0.00048,0.14539
CVE-2023-0352,0.00091,0.37850
CVE-2023-0353,0.00061,0.24144
CVE-2023-0354,0.00091,0.37850
CVE-2023-0355,0.00087,0.35654
CVE-2023-0356,0.00059,0.22878
CVE-2023-0357,0.00148,0.49767
CVE-2023-0358,0.00053,0.19305
CVE-2023-0360,0.00045,0.12002
CVE-2023-0361,0.00116,0.44457
CVE-2023-0362,0.00045,0.12002
CVE-2023-0363,0.00045,0.12002
CVE-2023-0364,0.00045,0.12002
CVE-2023-0365,0.00045,0.12002
CVE-2023-0366,0.00045,0.12002
CVE-2023-0367,0.00045,0.12002
CVE-2023-0368,0.00043,0.07027
CVE-2023-0369,0.00045,0.12002
CVE-2023-0370,0.00045,0.12002
CVE-2023-0371,0.00045,0.12002
CVE-2023-0372,0.00045,0.12002
CVE-2023-0373,0.00045,0.12002
CVE-2023-0374,0.00045,0.12002
CVE-2023-0375,0.00045,0.12002
CVE-2023-0377,0.00045,0.12002
CVE-2023-0378,0.00045,0.12002
CVE-2023-0379,0.00045,0.12002
CVE-2023-0380,0.00045,0.12002
CVE-2023-0381,0.00050,0.16805
CVE-2023-0382,0.00044,0.11133
CVE-2023-0383,0.00046,0.13988
CVE-2023-0384,0.00046,0.13988
CVE-2023-0385,0.00053,0.18924
CVE-2023-0386,0.00042,0.05675
CVE-2023-0388,0.00050,0.16805
CVE-2023-0391,0.00080,0.33206
CVE-2023-0394,0.00042,0.05675
CVE-2023-0395,0.00045,0.12002
CVE-2023-0396,0.00053,0.19305
CVE-2023-0397,0.00044,0.10600
CVE-2023-0398,0.00048,0.14876
CVE-2023-0399,0.00045,0.12002
CVE-2023-0400,0.00042,0.05675
CVE-2023-0401,0.00120,0.45152
CVE-2023-0402,0.00050,0.16942
CVE-2023-0403,0.00097,0.39601
CVE-2023-0404,0.00045,0.12002
CVE-2023-0405,0.00045,0.12002
CVE-2023-0406,0.00046,0.13988
CVE-2023-0410,0.00046,0.13988
CVE-2023-0411,0.00055,0.20758
CVE-2023-0412,0.00049,0.16198
CVE-2023-0413,0.00055,0.20696
CVE-2023-0414,0.00053,0.19012
CVE-2023-0415,0.00055,0.20696
CVE-2023-0416,0.00053,0.19012
CVE-2023-0417,0.00055,0.20696
CVE-2023-0418,0.00045,0.12002
CVE-2023-0419,0.00045,0.12002
CVE-2023-0420,0.00045,0.12002
CVE-2023-0421,0.00097,0.39601
CVE-2023-0422,0.00045,0.12002
CVE-2023-0423,0.00045,0.12002
CVE-2023-0424,0.00045,0.12002
CVE-2023-0428,0.00046,0.13988
CVE-2023-0429,0.00045,0.12002
CVE-2023-0430,0.00048,0.14876
CVE-2023-0431,0.00045,0.12002
CVE-2023-0432,0.00048,0.14884
CVE-2023-0433,0.00057,0.21524
CVE-2023-0434,0.00046,0.13988
CVE-2023-0435,0.00087,0.36042
CVE-2023-0438,0.00048,0.14876
CVE-2023-0440,0.00046,0.13988
CVE-2023-0441,0.00050,0.16890
CVE-2023-0442,0.00046,0.13988
CVE-2023-0443,0.00046,0.13988
CVE-2023-0444,0.00050,0.16805
CVE-2023-0446,0.00045,0.12002
CVE-2023-0447,0.00052,0.18199
